group_customer_id,age,name,address,income,number_children,city,info
0,4,6f8246002c1c5967ffc5e0ec80f2d7b59a60b1e3,de8627f75ba1abcfafd00a0e75ad189105cfdc21,12601,0,84,9d323717c1d5f918d8b0267c157186d6e6b64ec9 
1,82,fab19abfc186474354d059987002dfd06da3ddce,2c9a62c3748f484690d547c0d707aededf04fbd2,38467,4,89,63573d008f93d619a8743d27c55d58dcaab1c28d 
2,38,4f2706558a59b0c71f4a31a81345052fc8623919,eaa67f3a93d0acb08d8a5e8ff9866f51983b3c3b,29866,4,31,5f1cd7c3fb68ae7c679f8c33966610670d32ff1e 
3,36,9dbb7f83a82dff4d62f7f5f2c0491527ce35cce8,1574bddb75c78a6fd2251d61e2993b5146201319,22863,1,77,12b15c8db6c703fe4c7f4f8b71ca4ead06cca8b5 
4,22,81ecfd4383a1b3f7805215da769e4bb7e368451e,a9334987ece78b6fe8bf130ef00b74847c1d3da6,46607,5,77,c66c65175fecc3103b3b587be9b5b230889c8628 
5,91,f76b2ea6b45eff3bc8e4399145cc17a0601f5c8d,ccd04939f25266ed88d9dbb3eb298866911b04f4,33287,0,45,7698330419d7539e743e9f4985411faf76e64261 
6,72,d2578a848888259fc29e19f4770e0f27690a02ea,872a319ee7a24a0ea855777702e15aae09deb042,30812,1,6,6b6277afcb65d33525545904e95c2fa240632660 
7,66,40bc268f88e6d1bbfcc03874d9ed50ec2889a711,9f3bdbf605248e180acba43499e6c6cbcec07427,29820,2,7,3219b5be78da72e80e0918d458b9ece3825a68e1 
8,16,584130e068c3f0f36bf0a7ef9308031af8fb6462,2a7541babb57434e5631ffa2b5639e24f8ce84fc,21293,4,43,301377d6f91551c76bdeceb505896fd2d31b918e 
9,52,9335809622570e8aeb98a74c24d3281e4191bf13,dc685e2c3fd7a3a63944383a54aa249ea27f5fdd,26469,2,50,ae7329c979b3cd96086c22cca6217764ab3e50ec 
10,79,3d5bdf107de596ce77e8ce48a61b585f52bbb61d,f0483f255e0ce2c93d5dfa593f2161b266474869,42005,2,21,9335809622570e8aeb98a74c24d3281e4191bf13 
11,27,717b2f3d8816830549097908c134e1729c516542,b6c3f8f43516460ff7a23fb24c33ae4ab854635e,10877,2,9,3341b16b2e02679ecb3d3fccb14a5667fa751d0d 
12,45,93f271ad5efd7ea64a800c9acfe0b34fc19f58e3,7d7116e23efef7292cad5e6f033d9a962708228c,13830,5,14,2a2b47bf21a372f267deccbb420567f3d450b3c0 
13,56,717b2f3d8816830549097908c134e1729c516542,1352246e33277e9d3c9090a434fa72cfa6536ae2,20851,0,37,4728a26498a7441a03a375eb0280b65c24a8cbd9 
